,Name
0,Abarth
1,Acura
2,Aixam
3,Alfa Romeo
4,Alpine
5,Aston Martin
6,Audi
7,Austin
8,Autobianchi
9,Baic
10,Bentley
11,BMW
12,Buick
13,Cadillac
14,Casalini
15,Chatenet
16,Chevrolet
17,Chrysler
18,Citroen
19,Cupra
20,Dacia
21,Daewoo
22,Daihatsu
23,DFSK
24,DKW
25,Dodge
26,DS Automobiles
27,FAW
28,Ferrari
29,Fiat
30,Ford
31,Gaz
32,GMC
33,Grecav
34,Honda
35,Hummer
36,Hyundai
37,Infiniti
38,Isuzu
39,Iveco
40,Jaguar
41,Jeep
42,Kia
43,Lada
44,Lamborghini
45,Lancia
46,Land Rover
47,Lexus
48,Ligier
49,Lincoln
50,Lotus
51,MAN
52,Warszawa
53,Maserati
54,Maybach
55,Mazda
56,McLaren
57,Mercedes-Benz
58,Mercury
59,MG
60,Microcar
61,MINI
62,Mitsubishi
63,Moskwicz
64,Nissan
65,NSU
66,Nysa
67,Oldsmobile
68,Opel
69,Inny
70,Toyota
71,Tata
72,Uaz
73,Zuk
74,Trabant
75,Suzuki
76,Volvo
77,Volkswagen
78,Subaru
79,Zastava
80,SsangYong
81,Saab
82,Plymouth
83,Rolls-Royce
84,Renault
85,Peugeot
86,RAM
87,Triumph
88,Rover
89,Porsche
90,Wolga
91,Tarpan
92,Zaporozec
93,Polonez
94,Pontiac
95,Santana
96,Saturn
97,Scion
98,Seat
99,Skoda
100,Smart
101,Syrena
102,Talbot
103,Tavria
104,Tesla
105,Vanderhall
106,Vauxhall
107,Wartburg
