,Vehicle_model,BrandID
0,124,0
1,500,0
2,595,0
3,Grande Punto,0
4,Other,0
5,MDX,1
6,RDX,1
7,RL,1
8,TL,1
9,TSX,1
10,A721,2
11,A741,2
12,A751,2
13,City,2
14,Coupe,2
15,Crossline,2
16,Crossover,2
17,GTO,2
18,Other,2
19,Roadline,2
20,Scouty,2
21,Scouty R,2
22,145,3
23,146,3
24,147,3
25,155,3
26,156,3
27,159,3
28,164,3
29,166,3
30,4C,3
31,Brera,3
32,Crosswagon,3
33,GT,3
34,GTV,3
35,Giulia,3
36,Giulietta,3
37,Mito,3
38,Other,3
39,Spider,3
40,Sportwagon,3
41,Stelvio,3
42,A110,4
43,DB11,5
44,DB7,5
45,DB9,5
46,DBS Superleggera,5
47,DBX,5
48,Rapide,5
49,V8 Vantage,5
50,Vantage,5
51,100,6
52,80,6
53,90,6
54,A1,6
55,A2,6
56,A3,6
57,A4,6
58,A4 Allroad,6
59,A5,6
60,A6,6
61,A6 Allroad,6
62,A7,6
63,A8,6
64,Cabriolet,6
65,Coupe,6
66,Other,6
67,Q2,6
68,Q3,6
69,Q5,6
70,Q7,6
71,Q8,6
72,R8,6
73,RS Q3,6
74,RS Q8,6
75,RS3,6
76,RS4,6
77,RS5,6
78,RS6,6
79,RS7,6
80,S1,6
81,S3,6
82,S4,6
83,S5,6
84,S6,6
85,S7,6
86,S8,6
87,SQ5,6
88,SQ7,6
89,SQ8,6
90,TT,6
91,TT RS,6
92,TT S,6
93,e-tron,6
94,Allegro,7
95,Mini,7
96,Other,7
97,Bianchina,8
98,1M,11
99,3GT,11
100,5GT,11
101,6GT,11
102,M2,11
103,M3,11
104,M4,11
105,M5,11
106,M6,11
107,M8,11
108,Other,11
109,Seria 1,11
110,Seria 2,11
111,Seria 3,11
112,Seria 4,11
113,Seria 5,11
114,Seria 6,11
115,Seria 7,11
116,Seria 8,11
117,X1,11
118,X2,11
119,X3,11
120,X3 M,11
121,X4,11
122,X5,11
123,X5 M,11
124,X6,11
125,X6 M,11
126,X7,11
127,Z3,11
128,Z4,11
129,i3,11
130,i8,11
131,Senova X25,9
132,Senova X35,9
133,Senova X55,9
134,Arnage,10
135,Bentayga,10
136,Continental Flying Spur,10
137,Continental GT,10
138,Mulsanne,10
139,Other,10
140,Century,12
141,Electra,12
142,Enclave,12
143,Lacrosse,12
144,Le Sabre,12
145,Other,12
146,Park Avenue,12
147,Reatta,12
148,Regal,12
149,Rendezvous,12
150,Riviera,12
151,Roadmaster,12
152,ATS,13
153,BLS,13
154,Brougham,13
155,CT6,13
156,CTS,13
157,DTS,13
158,Deville,13
159,Eldorado,13
160,Escalade,13
161,Fleetwood,13
162,Other,13
163,SRX,13
164,STS,13
165,Seville,13
166,XLR,13
167,XT5,13
168,XTS,13
169,M14,14
170,Sulky,14
171,CH22 Barooder,15
172,CH26,15
173,CH32,15
174,Media,15
175,3500,16
176,Alero,16
177,Apache,16
178,Astro,16
179,Avalanche,16
180,Aveo,16
181,Blazer,16
182,Bolt,16
